                   i                   j               k            Flow        capacity            Dual
        KnightMarine      MarineBoundary        Downtown               0             300          0.0000
        KnightMarine      MarineBoundary             UBC               0             300          0.0000
        KnightMarine        MarineCambie        Downtown               0             300          0.0000
        KnightMarine        MarineCambie             UBC               0             300          0.0000
    LougheedBoundary         Boundary1st        Downtown               0             200          0.0000
    LougheedBoundary         Boundary1st             UBC               0             200          0.0000
    LougheedBoundary       BroadwayClark        Downtown               0             600          0.0000
    LougheedBoundary       BroadwayClark             UBC               0             600          0.0000
    LougheedBoundary    KingswayBoundary        Downtown               0             200          0.0000
    LougheedBoundary    KingswayBoundary             UBC               0             200          0.0000
        MainTerminal            Clark1st        Downtown               0             600          0.0000
        MainTerminal            Clark1st             UBC               0             600          0.0000
        MainTerminal            Downtown        Downtown            3000            5700          0.0000
        MainTerminal            Downtown             UBC               0            5700          0.0000
        MainTerminal    KingswayBroadway        Downtown               0            5100          0.0000
        MainTerminal    KingswayBroadway             UBC               0            5100          0.0000
          Marine41st       Granville41st        Downtown               0             600          0.0000
          Marine41st       Granville41st             UBC               0             600          0.0000
          Marine41st     MarineGranville        Downtown               0             800          0.0000
          Marine41st     MarineGranville             UBC               0             800          0.0000
          Marine41st                 UBC        Downtown               0            1400         -0.2167
          Marine41st                 UBC             UBC            1400            1400         -0.2167
      MarineBoundary    KingswayBoundary        Downtown               0               0          0.0000
      MarineBoundary    KingswayBoundary             UBC               0               0          0.0000
      MarineBoundary        KnightMarine        Downtown               0             300          0.0000
      MarineBoundary        KnightMarine             UBC               0             300          0.0000
        MarineCambie          Cambie41st        Downtown            1800            2600          0.0000
        MarineCambie          Cambie41st             UBC             500            2600          0.0000
        MarineCambie        KnightMarine        Downtown               0             300          0.0000
        MarineCambie        KnightMarine             UBC               0             300          0.0000
        MarineCambie           MarineOak        Downtown               0            1200          0.0000
        MarineCambie           MarineOak             UBC               0            1200          0.0000
     MarineGranville       Granville41st        Downtown             200             600         -0.0983
     MarineGranville       Granville41st             UBC             400             600         -0.0983
     MarineGranville          Marine41st        Downtown               0             800         -0.3112
     MarineGranville          Marine41st             UBC             800             800         -0.3112
     MarineGranville           MarineOak        Downtown             300            1700          0.0000
     MarineGranville           MarineOak             UBC               0            1700          0.0000
           MarineOak        MarineCambie        Downtown             800            1200          0.0000
           MarineOak        MarineCambie             UBC               0            1200          0.0000
           MarineOak     MarineGranville        Downtown               0            1700          0.0000
           MarineOak     MarineGranville             UBC             700            1700          0.0000
           MarineOak             Oak41st        Downtown               0             300         -0.0829
           MarineOak             Oak41st             UBC             300             300         -0.0829
             Oak41st          Cambie41st        Downtown               0             600          0.0000
             Oak41st          Cambie41st             UBC               0             600          0.0000
             Oak41st       Granville41st        Downtown               0             600          0.0000
             Oak41st       Granville41st             UBC             600             600          0.0000
             Oak41st           MarineOak        Downtown               0             300          0.0000
             Oak41st           MarineOak             UBC               0             300          0.0000
             Oak41st         OakBroadway        Downtown               0             300          0.0000
             Oak41st         OakBroadway             UBC             200             300          0.0000
         OakBroadway      CambieBroadway        Downtown               0            2900          0.0000
         OakBroadway      CambieBroadway             UBC               0            2900          0.0000
         OakBroadway   GranvilleBroadway        Downtown               0            2600          0.0000
         OakBroadway   GranvilleBroadway             UBC            2200            2600          0.0000
         OakBroadway             Oak41st        Downtown               0             300          0.0000
         OakBroadway             Oak41st             UBC               0             300          0.0000
                 UBC   GranvilleBroadway        Downtown               0            2900          0.0000
                 UBC   GranvilleBroadway             UBC               0            2900          0.0000
                 UBC          Marine41st        Downtown               0            1400          0.0000
                 UBC          Marine41st             UBC               0            1400          0.0000
